pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
OR,Rest,ArLa,-73.945358,3.0326919999999973,0.030249743334728407,1.0,0.010719625282050504,1.0,1.9331437793252773,[0.00662519 0.00663895 0.00668019 ... 0.00155179 0.0015517  0.00155167]
FR,Rest,ArLa,-63.97155,13.006499999999996,9.181222168130887e-05,0.0,0.0002823459729723865,0.0,0.05091739187777891,[0.0005736  0.00057343 0.00057292 ... 0.00016067 0.00016067 0.00016067]
FR,Rest,ArLa,-48.041466,28.936583999999996,0.0015550272454856184,1.0,0.000522565724998092,0.0,0.09423787249916163,"[2.52842194e-03 2.52656720e-03 2.52102181e-03 ... 4.69552539e-05
 4.69553439e-05 4.69553739e-05]"
RR,Rest,ArLa,-46.029041,30.949008999999997,3.241355953420566e-05,0.0,0.00014021217034887457,0.0,0.025285425354324986,"[6.19261806e-04 6.19112589e-04 6.18665505e-04 ... 2.59692301e-07
 2.59369197e-07 2.59261498e-07]"
OR,Rest,ArLa,-40.257335999999995,36.720714,0.0015413196628699666,1.0,0.00022648557171689454,0.0,0.04084370139360818,"[2.56229797e-06 2.57474772e-06 2.61207012e-06 ... 1.29945387e-04
 1.29943889e-04 1.29943389e-04]"
FR,Rest,ArLa,-37.061943,39.916107,0.00022595724856344646,0.0,0.0004105940791079288,0.0,0.07404525521842245,[0.00132421 0.0013239  0.00132297 ... 0.00011449 0.00011449 0.00011449]
OR,Rest,ArLa,-34.027912,42.950137999999995,0.0024404133798068273,1.0,0.0005228505664904848,0.0,0.09428923992522595,"[6.47097453e-05 6.48990873e-05 6.54665647e-05 ... 4.31974514e-06
 4.31649026e-06 4.31540532e-06]"
FR,Rest,ArLa,-27.230452000000003,49.747597999999996,0.004647779942128949,1.0,0.0007201760654331757,0.0,0.12987430477092102,"[6.66221615e-03 6.66093170e-03 6.65708167e-03 ... 1.00693845e-05
 1.00694253e-05 1.00694389e-05]"
FR,Rest,ArLa,-27.06185,49.916199999999996,2.5235547695956484e-07,0.0,0.00036861347953665025,0.0,0.06647460486654384,"[1.48184936e-04 1.48322198e-04 1.48733505e-04 ... 1.70972879e-05
 1.70975275e-05 1.70976073e-05]"
OR,Rest,ArLa,-23.057302,53.920747999999996,0.0017767186439670013,1.0,0.0007299262889108871,0.0,0.13163262965327768,"[8.80430284e-03 8.80148722e-03 8.79305085e-03 ... 4.34005342e-05
 4.33986867e-05 4.33980709e-05]"
OR,Rest,ArLa,-20.780144,56.197905999999996,0.0012360618993643158,1.0,0.00021157439384222876,0.0,0.038154666096908985,"[3.04451804e-04 3.04564383e-04 3.04901786e-04 ... 2.76444492e-05
 2.76420221e-05 2.76412130e-05]"
OR,Rest,ArLa,-16.004959,60.973091,3.814740880514478e-05,0.0,0.0005409211734799246,0.0,0.09754803681141574,"[3.50337757e-04 3.50800092e-04 3.52185153e-04 ... 1.19469506e-05
 1.19456740e-05 1.19452485e-05]"
OR,Rest,ArLa,-15.924253,61.053796999999996,0.0011604706758454597,1.0,0.0001517946871403275,0.0,0.027374180296330274,"[3.03391878e-04 3.03237853e-04 3.02776809e-04 ... 4.85987771e-06
 4.85931255e-06 4.85912416e-06]"
OR,Rest,ArLa,-14.624516,62.353533999999996,0.0015837154331137526,1.0,0.0004998640873994376,0.0,0.09014393000120699,[0.00566524 0.00566329 0.00565744 ... 0.00012567 0.00012567 0.00012567]
FR,Rest,ArLa,-9.278754,67.699296,1.253331483042075e-07,0.0,0.000222741441771257,0.0,0.04016849668048128,"[1.81630300e-03 1.81558567e-03 1.81343669e-03 ... 2.24114051e-06
 2.24062201e-06 2.24044918e-06]"
FR,Rest,ArLa,1.835109,78.813159,0.0025193892202377555,1.0,0.0005826978937701899,0.0,0.10508192020983712,[0.00321164 0.00320959 0.00320346 ... 0.00053896 0.00053896 0.00053895]
OR,Rest,ArLa,12.212064999999999,89.19011499999999,0.006421624082708632,1.0,0.0005259596080335882,0.0,0.09484991477724508,"[6.09191452e-03 6.07586151e-03 6.02818650e-03 ... 1.30789530e-05
 1.30779141e-05 1.30775678e-05]"
RO,Rest,ArLa,-76.97805,3.0326919999999973,0.030249743334728407,1.0,0.0019002197636124318,0.0,0.3426797036953567,[0.00027587 0.00027718 0.0002811  ... 0.00013684 0.00013683 0.00013683]
FO,Rest,ArLa,-63.97155,9.973807999999998,2.1744484294927702e-05,0.0,0.0008168455289943033,0.0,0.1473073742315504,[0.00249993 0.0024993  0.00249743 ... 0.00045586 0.00045585 0.00045585]
FO,Rest,ArLa,-48.041466,25.903892,0.00019982472275081875,0.0,0.00029187496194915674,0.0,0.052635820020462916,[0.00061239 0.00061192 0.00061053 ... 0.00016418 0.00016417 0.00016417]
RO,Rest,ArLa,-46.029041,27.916317,8.54012639806001e-06,0.0,0.0010175659738911325,0.0,0.18350467303876064,"[4.76691422e-05 4.78001793e-05 4.81928879e-05 ... 1.01340491e-05
 1.01305860e-05 1.01294316e-05]"
OO,Rest,ArLa,-40.257335999999995,33.688022000000004,0.001125644686910121,1.0,0.0002983746776059615,0.0,0.053807958463620485,"[6.61015734e-04 6.61039686e-04 6.61111496e-04 ... 6.03093641e-06
 6.03026666e-06 6.03004341e-06]"
FO,Rest,ArLa,-37.061943,36.883415,0.010993611690981453,1.0,0.0011868170934754563,0.0,0.21402689189991175,"[9.25956354e-04 9.27306966e-04 9.31351476e-04 ... 8.19192516e-05
 8.19035187e-05 8.18982745e-05]"
OO,Rest,ArLa,-34.027912,39.917446,0.00018767318493928542,0.0,0.00013200195383133995,0.0,0.023804820522516004,[0.00020229 0.00020228 0.00020224 ... 0.0001058  0.0001058  0.0001058 ]
FO,Rest,ArLa,-27.230452000000003,46.714906,0.003873379364994989,1.0,0.002711044024542586,1.0,0.48890122122990576,[0.00108214 0.00108446 0.0010914  ... 0.00160495 0.00160494 0.00160494]
FO,Rest,ArLa,-27.06185,46.883508,1.6363864805413186e-06,0.0,0.0005003513184860253,0.0,0.09023179573525537,"[1.60085551e-03 1.60072336e-03 1.60032742e-03 ... 8.41800319e-05
 8.41743048e-05 8.41723958e-05]"
OO,Rest,ArLa,-23.057302,50.888056,0.002141167025206059,1.0,0.0005372603130890941,0.0,0.09688784867001098,[0.00486627 0.00486452 0.00485925 ... 0.00016328 0.00016328 0.00016328]
OO,Rest,ArLa,-20.780144,53.165214,6.671217152032227e-06,0.0,0.0003894818420409063,0.0,0.07023794025358926,"[4.43203221e-06 4.50878731e-06 4.73885501e-06 ... 1.95377182e-05
 1.95367907e-05 1.95364816e-05]"
OO,Rest,ArLa,-16.004959,57.940399,0.004172534217788737,1.0,0.0003919833903567316,0.0,0.07068906167231243,[0.00298295 0.00298199 0.00297911 ... 0.00012628 0.00012628 0.00012628]
OO,Rest,ArLa,-15.924253,58.021105,0.0001860063333456452,0.0,0.0004990838961500543,0.0,0.09000323274540323,[0.00302826 0.0030267  0.00302204 ... 0.00026734 0.00026733 0.00026733]
OO,Rest,ArLa,-14.624516,59.320842,0.002042312275687408,1.0,0.0007669016663169881,0.0,0.13830065385562515,[0.00147846 0.00147774 0.00147557 ... 0.0010615  0.0010615  0.0010615 ]
FO,Rest,ArLa,-9.278754,64.666604,0.0003609959608645852,0.0,0.0011628207175422567,0.0,0.20969946033014497,"[8.20068823e-04 8.20321282e-04 8.21077759e-04 ... 2.87496692e-05
 2.87492140e-05 2.87490623e-05]"
FO,Rest,ArLa,1.835109,75.780467,0.00046355735932657183,0.0,0.000513422140534292,0.0,0.09258894700392745,"[1.65175866e-03 1.65074828e-03 1.64772449e-03 ... 1.47835292e-05
 1.47783718e-05 1.47766527e-05]"
OO,Rest,ArLa,12.212064999999999,86.157423,0.0021097499186204516,1.0,0.0008940705161810669,0.0,0.16123388748743261,"[8.02694054e-03 8.01064647e-03 7.96225584e-03 ... 5.71550237e-06
 5.71192296e-06 5.71072984e-06]"
RF,Rest,ArLa,-76.97805,13.006499999999996,9.181222168130887e-05,0.0,0.0006743363496755084,0.0,0.12160771344600273,[0.00057782 0.00057787 0.00057801 ... 0.00041207 0.00041206 0.00041206]
OF,Rest,ArLa,-73.945358,9.973807999999998,2.1744484294927702e-05,0.0,0.0006715066173315076,0.0,0.1210974083435361,[0.000985   0.00098486 0.00098446 ... 0.00048023 0.00048023 0.00048023]
FF,Rest,ArLa,-48.041466,15.930084,0.002067775599359223,1.0,0.00036038779457459036,0.0,0.064991210503709,[0.00018797 0.00018807 0.00018838 ... 0.00021119 0.00021118 0.00021118]
RF,Rest,ArLa,-46.029041,17.942509,1.2798293374416403e-05,0.0,0.00012989927383610933,0.0,0.02342562977230405,"[2.71418404e-05 2.71456273e-05 2.71569813e-05 ... 1.99007153e-04
 1.99006107e-04 1.99005758e-04]"
OF,Rest,ArLa,-40.257335999999995,23.714214000000005,0.0005200950412866945,0.0,0.0012213088703274533,0.0,0.22024703132688986,[0.00161754 0.0016173  0.00161659 ... 0.00044289 0.00044287 0.00044287]
FF,Rest,ArLa,-37.061943,26.909607,0.003182894193564323,1.0,0.0009363922448777373,0.0,0.16886605600149943,"[6.70983823e-03 6.70647379e-03 6.69639888e-03 ... 5.29446866e-06
 5.29233540e-06 5.29162434e-06]"
OF,Rest,ArLa,-34.027912,29.943638,0.0006026714095614949,0.0,0.00029271967913468977,0.0,0.05278815368227819,"[1.94193335e-03 1.94154391e-03 1.94037679e-03 ... 5.72831319e-05
 5.72828753e-05 5.72827898e-05]"
FF,Rest,ArLa,-27.230452000000003,36.741097999999994,0.002443773396199944,1.0,0.0005628882276380587,0.0,0.10150950682352565,"[3.30647173e-04 3.31253814e-04 3.33072060e-04 ... 6.21158545e-05
 6.21081588e-05 6.21055936e-05]"
