pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
RR,Rest,BeFe,-72.199371,4.825874999999996,0.056423897025808856,1.0,0.0077343153070141835,1.0,1.3947822922626203,[0.04229242 0.04228584 0.0422661  ... 0.00234948 0.00234948 0.00234947]
OR,Rest,BeFe,-71.624992,5.40025399999999,0.0021876623479473167,1.0,0.0009396464584865427,0.0,0.16945291073092655,"[7.36522855e-04 7.37231705e-04 7.39356379e-04 ... 9.25487271e-05
 9.25373609e-05 9.25335722e-05]"
OR,Rest,BeFe,-68.016502,9.008743999999993,0.0030684363266235692,1.0,0.0018021423713912021,0.0,0.3249927327727455,"[2.31689916e-04 2.34909087e-04 2.44557328e-04 ... 1.41540600e-05
 1.41516380e-05 1.41508308e-05]"
FR,Rest,BeFe,-65.92417900000001,11.101066999999986,0.00010352501047083962,0.0,0.0004142914340226067,0.0,0.07471202466839898,"[1.50732472e-04 1.50702168e-04 1.50611330e-04 ... 7.81484773e-05
 7.81413344e-05 7.81389535e-05]"
RR,Rest,BeFe,-51.74660899999999,25.278637000000003,0.00046329135445333236,0.0,0.0005162889119707526,0.0,0.09310593162077041,[0.00076791 0.00076763 0.0007668  ... 0.00019034 0.00019034 0.00019034]
OR,Rest,BeFe,-26.060168999999995,50.965077,0.0003272550248052397,0.0,0.000460459048863493,0.0,0.08303774829097628,"[4.71853855e-06 4.74598579e-06 4.82837237e-06 ... 2.23539542e-04
 2.23525710e-04 2.23521099e-04]"
OR,Rest,BeFe,-25.626318,51.398928,0.0028883079404815604,1.0,0.0006166343961111487,0.0,0.11120192316388935,"[2.92413958e-03 2.92383384e-03 2.92291699e-03 ... 9.94836354e-05
 9.94742008e-05 9.94710559e-05]"
OR,Rest,BeFe,31.76347000000001,108.78871600000001,0.0005463816984985215,0.0,0.001205116070386758,0.0,0.21732687230532136,"[8.57230833e-03 8.57008242e-03 8.56341095e-03 ... 5.73831703e-07
 5.58989158e-07 5.54041756e-07]"
RR,Rest,BeFe,-77.025246,4.825874999999996,0.056423897025808856,1.0,0.003700723749622936,1.0,0.6673769751601275,[0.02446911 0.02446351 0.02444672 ... 0.00135953 0.00135951 0.0013595 ]
OR,Rest,BeFe,-71.624992,0.5743789999999933,0.015017510146742907,1.0,0.0026874317541798476,1.0,0.48464305806034924,[0.01375872 0.01375749 0.0137538  ... 0.00155568 0.00155569 0.00155569]
OR,Rest,BeFe,-68.016502,4.182868999999997,0.011924430478597259,1.0,0.0018644836545826937,0.0,0.3362351652856229,[0.00855936 0.00855982 0.00856119 ... 0.00027874 0.00027874 0.00027875]
FR,Rest,BeFe,-65.92417900000001,6.27519199999999,0.0012079582510073905,1.0,0.001292398479718626,0.0,0.23306710969281216,[0.00222374 0.00222324 0.00222175 ... 0.00021487 0.00021481 0.0002148 ]
RR,Rest,BeFe,-51.74660899999999,20.452762000000007,0.00016006792587486274,0.0,0.00039389549802471,0.0,0.0710338852035922,"[1.15905796e-03 1.15889095e-03 1.15839023e-03 ... 3.20692597e-05
 3.20673271e-05 3.20666829e-05]"
OR,Rest,BeFe,-26.060168999999995,46.139202000000004,1.13270485879724e-06,0.0,0.0007851856670064716,0.0,0.1415979334959162,[0.00102228 0.00102225 0.00102215 ... 0.00135693 0.00135693 0.00135693]
OR,Rest,BeFe,-25.626318,46.573053,5.236305266720365e-06,0.0,0.0005306991803308847,0.0,0.09570463445840063,[0.00104287 0.00104322 0.00104425 ... 0.00033808 0.00033808 0.00033808]
OR,Rest,BeFe,31.76347000000001,103.96284100000001,0.0007799416282381344,1.0,0.000912722988345438,0.0,0.1645976161239148,"[5.49150868e-03 5.49084049e-03 5.48883764e-03 ... 7.17465733e-05
 7.17478650e-05 7.17482956e-05]"
RO,Rest,BeFe,-77.025246,5.40025399999999,0.0021876623479473167,1.0,0.00045755415783377273,0.0,0.08251388930561375,"[2.94892365e-05 2.96912358e-05 3.02968574e-05 ... 2.95436664e-04
 2.95426664e-04 2.95423331e-04]"
RO,Rest,BeFe,-72.199371,0.5743789999999933,0.015017510146742907,1.0,0.00245916678914182,1.0,0.44347846642671734,[0.000102   0.00010376 0.00010902 ... 0.00014144 0.00014143 0.00014142]
OO,Rest,BeFe,-68.016502,3.6084900000000033,0.048405370760616684,1.0,0.007138264797637683,1.0,1.2872924030130182,[0.02726985 0.02727121 0.02727528 ... 0.00086811 0.00086811 0.00086811]
FO,Rest,BeFe,-65.92417900000001,5.700812999999997,0.002014925761112174,1.0,0.0014488262658713946,0.0,0.26127680861029196,"[2.11865747e-04 2.11790553e-04 2.11565296e-04 ... 6.83834169e-05
 6.83247381e-05 6.83051788e-05]"
RO,Rest,BeFe,-51.74660899999999,19.878383000000014,0.002099331697104745,1.0,0.0014158797739218798,0.0,0.25533534104151034,"[3.85808019e-03 3.85880757e-03 3.86098816e-03 ... 8.97502768e-06
 8.97584188e-06 8.97611330e-06]"
