pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
OF,Rest,FaWa,-28.469216999999997,15.835471000000002,6.513443848943368e-05,0.0,0.00024327661244871734,0.0,0.04387174529300385,"[2.63143308e-05 2.66691919e-05 2.77306537e-05 ... 5.35209239e-04
 5.35238245e-04 5.35247914e-04]"
OF,Rest,FaWa,-23.231171,21.073517,0.003138420130195385,1.0,0.0007926966155198389,0.0,0.14295243451749212,"[1.95943411e-03 1.95856596e-03 1.95596565e-03 ... 8.00586707e-05
 8.00626030e-05 8.00639137e-05]"
OF,Rest,FaWa,-12.075923,32.228764999999996,4.915009257855374e-05,0.0,0.0012960141769049471,0.0,0.23371915324281986,"[1.34309367e-03 1.34292458e-03 1.34241806e-03 ... 2.87850465e-07
 2.87466710e-07 2.87338758e-07]"
OF,Rest,FaWa,-3.2148790000000003,41.089808999999995,0.00017531185108543568,0.0,0.0012659629493534386,0.0,0.22829980862267146,"[4.56669810e-05 4.84138811e-05 5.66357369e-05 ... 5.96135944e-07
 5.79996908e-07 5.74617485e-07]"
OF,Rest,FaWa,9.865587,54.170275,0.00025828282527351476,0.0,0.0002544078276016659,0.0,0.04587911390553222,[0.00030019 0.0003001  0.00029984 ... 0.00020822 0.0002082  0.00020819]
FO,Rest,FaWa,-44.304688,15.835471000000002,6.513443848943368e-05,0.0,0.0009812655069558751,0.0,0.17695836008507945,"[7.72534974e-06 8.10174055e-06 9.22895827e-06 ... 3.16738086e-04
 3.16621142e-04 3.16582160e-04]"
OO,Rest,FaWa,-23.231171,5.238045999999997,0.006971447137481768,1.0,0.000574428608075328,0.0,0.10359066302687821,"[6.46534242e-03 6.46248385e-03 6.45392197e-03 ... 6.23267257e-05
 6.23178625e-05 6.23149081e-05]"
OO,Rest,FaWa,-12.075923,16.393293999999997,0.00017990793845745756,0.0,0.0012265578861871962,0.0,0.2211936224706897,"[1.14060567e-03 1.14163845e-03 1.14473247e-03 ... 9.88723962e-05
 9.88717881e-05 9.88715854e-05]"
OO,Rest,FaWa,-3.2148790000000003,25.254337999999997,0.00047709296253417577,0.0,0.0011941719351586944,0.0,0.21535324110277812,[0.00316958 0.00316967 0.00316994 ... 0.00045508 0.00045506 0.00045506]
OO,Rest,FaWa,9.865587,38.334804,0.00041972369603993087,0.0,0.0009561510112463534,0.0,0.17242929028326018,[0.00262885 0.0026288  0.00262864 ... 0.00145906 0.00145913 0.00145915]
FO,Rest,FaWa,-44.304688,21.073517,0.003138420130195385,1.0,0.0015855438527720978,0.0,0.28593203168828574,[0.00404555 0.0040486  0.00405774 ... 0.00024211 0.00024212 0.00024212]
OO,Rest,FaWa,-28.469216999999997,5.238045999999997,0.006971447137481768,1.0,0.0015116497562064346,0.0,0.2726062008550042,[0.0146686  0.01465956 0.01463253 ... 0.00143103 0.00143117 0.00143122]
OO,Rest,FaWa,-12.075923,11.155248,0.00035762852829845926,0.0,0.0013910552303197932,0.0,0.25085856029812753,[0.00339409 0.00339275 0.00338877 ... 0.00029013 0.00029002 0.00028999]
OO,Rest,FaWa,-3.2148790000000003,20.016292,0.0017321580005185133,1.0,0.0011425210930413598,0.0,0.20603868938022596,[0.01590926 0.0159004  0.01587389 ... 0.00040903 0.00040905 0.00040906]
OO,Rest,FaWa,9.865587,33.096758,0.009549253571979666,1.0,0.0013550752317077475,0.0,0.24437003960202877,[0.00419373 0.00419342 0.00419247 ... 0.00041571 0.00041564 0.00041562]
FO,Rest,FaWa,-44.304688,32.228764999999996,4.915009257855374e-05,0.0,0.0005505791003206362,0.0,0.0992897172062111,"[4.52356107e-04 4.52661895e-04 4.53577351e-04 ... 1.18265620e-05
 1.17633546e-05 1.17422852e-05]"
OO,Rest,FaWa,-28.469216999999997,16.393293999999997,0.00017990793845745756,0.0,0.0006765292089743191,0.0,0.12200316685047292,[0.00413404 0.00413134 0.00412325 ... 0.00077544 0.00077549 0.0007755 ]
