pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
RR,Rest,JuRo,-71.89395099999999,3.5853810000000124,0.006641637504818831,1.0,0.0003679468213435566,0.0,0.06635438180790082,"[6.33844047e-04 6.33566003e-04 6.32732953e-04 ... 1.13274260e-05
 1.13277289e-05 1.13278298e-05]"
RR,Rest,JuRo,-61.58527399999999,13.894058000000008,0.0009455509036335741,1.0,0.0006756696557501662,0.0,0.12184815770373973,"[1.69739703e-04 1.70429910e-04 1.72497185e-04 ... 5.27147817e-05
 5.27034063e-05 5.26996146e-05]"
OR,Rest,JuRo,-59.41241099999999,16.066921000000008,0.00019337756887161106,0.0,0.0005962245623096774,0.0,0.10752127741254554,"[3.30336719e-05 3.30183042e-05 3.29722674e-05 ... 4.43234601e-04
 4.43229536e-04 4.43227848e-04]"
RR,Rest,JuRo,-58.42168399999999,17.057648000000007,4.7652375014806125e-05,0.0,0.0006266861334858209,0.0,0.11301462212173409,[0.00120226 0.00120167 0.00119992 ... 0.00038061 0.0003806  0.0003806 ]
RR,Rest,JuRo,-53.24741399999999,22.231918000000007,0.00015837582735400701,0.0,0.00026575929495376016,0.0,0.047926202112492135,[0.00027837 0.00027834 0.00027822 ... 0.00030707 0.00030707 0.00030707]
OR,Rest,JuRo,-44.63325499999999,30.846077000000008,0.0006881886674268145,0.0,0.000778822464791773,0.0,0.14045041346100126,[0.0008346  0.00083435 0.00083361 ... 0.00070486 0.00070485 0.00070485]
FR,Rest,JuRo,-43.15054299999999,32.32878900000001,0.0005065430717205999,0.0,0.002109092748476593,0.0,0.38034720612525685,"[1.46135381e-02 1.46107110e-02 1.46022376e-02 ... 2.90332834e-05
 2.90319082e-05 2.90314498e-05]"
FR,Rest,JuRo,-43.05065199999999,32.42868000000001,0.0004363773598132781,0.0,0.0001560480696061184,0.0,0.028141222020130346,[0.00105377 0.00105333 0.001052   ... 0.00016939 0.00016939 0.00016939]
RR,Rest,JuRo,-42.60575899999999,32.87357300000001,0.0023426786771789665,1.0,0.00030625103546055854,0.0,0.055228356265757235,[0.00018591 0.00018601 0.0001863  ... 0.00033131 0.00033131 0.00033131]
RR,Rest,JuRo,-41.54126699999999,33.93806500000001,6.851987670586368e-07,0.0,0.000639859984550073,0.0,0.11539035332170988,[0.00224657 0.00224616 0.00224493 ... 0.0002844  0.0002844  0.0002844 ]
OR,Rest,JuRo,-39.776482,35.70285,0.00010765506006116254,0.0,0.00014723992082998905,0.0,0.026552787950288596,"[9.94675445e-05 9.95002956e-05 9.95984685e-05 ... 1.39175008e-04
 1.39173448e-04 1.39172927e-04]"
RR,Rest,JuRo,-31.162025,44.317307,0.0009430285571294661,1.0,0.0010480286086915758,0.0,0.18899820955863703,[0.00899416 0.00899082 0.00898081 ... 0.00018237 0.00018237 0.00018238]
FR,Rest,JuRo,-27.89212799999999,47.587204000000014,2.0722011671026053e-05,0.0,0.0005459713602917748,0.0,0.09845877174504314,"[1.99526673e-03 1.99517579e-03 1.99490331e-03 ... 5.93712910e-07
 5.92410817e-07 5.91976788e-07]"
OR,Rest,JuRo,-26.868793,48.610539,0.002364224476567145,1.0,0.0007883710689995382,0.0,0.14217237895324558,[0.00265241 0.00265131 0.00264804 ... 0.00025263 0.00025263 0.00025263]
OR,Rest,JuRo,23.53697200000001,99.016304,0.0005212961371086067,0.0,9.941785704836725e-05,0.0,0.017928706167435915,"[2.87504831e-06 2.91482276e-06 3.03397453e-06 ... 9.49059354e-05
 9.49045694e-05 9.49041140e-05]"
RR,Rest,JuRo,-75.479332,3.5853810000000124,0.006641637504818831,1.0,0.0007725601576049623,0.0,0.13932108852063438,[0.00141419 0.00141432 0.00141468 ... 0.00037681 0.00037681 0.0003768 ]
RR,Rest,JuRo,-61.58527399999999,10.308676999999996,0.0014544076838856057,1.0,0.00034682219281778615,0.0,0.06254483220605699,[0.00135043 0.00135012 0.00134922 ... 0.00015006 0.00015006 0.00015006]
OR,Rest,JuRo,-59.41241099999999,12.481539999999995,3.214152487984734e-05,0.0,0.0004980842275832398,0.0,0.08982295563491874,"[4.20969226e-04 4.21085362e-04 4.21433491e-04 ... 7.94394262e-05
 7.94398288e-05 7.94399630e-05]"
RR,Rest,JuRo,-58.42168399999999,13.472266999999995,1.1219325495304133e-05,0.0,0.0003403380489135355,0.0,0.06137550192417288,"[5.79582180e-05 5.80742930e-05 5.84214746e-05 ... 2.70350108e-04
 2.70345230e-04 2.70343604e-04]"
RR,Rest,JuRo,-53.24741399999999,18.646536999999995,3.3187407154855464e-05,0.0,0.0008226622374907233,0.0,0.14835634129431063,[0.00106871 0.00106873 0.00106879 ... 0.00019573 0.00019571 0.00019571]
OR,Rest,JuRo,-44.63325499999999,27.260695999999996,0.0003136055860668563,0.0,0.0008702560381614877,0.0,0.15693925881990684,[0.00466636 0.00466465 0.00465951 ... 0.00094037 0.00094037 0.00094037]
FR,Rest,JuRo,-43.15054299999999,28.743407999999995,0.001649836039765873,1.0,0.0006180722390636273,0.0,0.11146121927602912,"[2.52859889e-03 2.52834298e-03 2.52757592e-03 ... 9.52437944e-05
 9.52379848e-05 9.52360482e-05]"
FR,Rest,JuRo,-43.05065199999999,28.843298999999995,0.001736464161245621,1.0,0.0009628370462995139,0.0,0.17363502898506075,"[4.40692402e-04 4.41165614e-04 4.42583269e-04 ... 9.34828420e-06
 9.33222757e-06 9.32687543e-06]"
RR,Rest,JuRo,-42.60575899999999,29.288191999999995,4.9820652110454944e-05,0.0,0.00013606128389120897,0.0,0.024536867440854072,"[3.09005253e-04 3.08899793e-04 3.08583723e-04 ... 5.12350795e-05
 5.12351835e-05 5.12352182e-05]"
RR,Rest,JuRo,-41.54126699999999,30.352683999999996,0.0005451977020332066,0.0,0.0006373348135628731,0.0,0.11493497186413114,[0.0004627  0.00046273 0.0004628  ... 0.00040221 0.00040221 0.00040221]
OR,Rest,JuRo,-39.776482,32.117468999999986,4.763759687165248e-06,0.0,0.00016125468219296835,0.0,0.029080166289990158,"[4.24716772e-04 4.24626788e-04 4.24357070e-04 ... 1.52048128e-05
 1.52041123e-05 1.52038788e-05]"
RR,Rest,JuRo,-31.162025,40.73192599999999,0.0001398140476069898,0.0,0.0004511467246552936,0.0,0.08135839279668634,"[6.43048455e-03 6.42838554e-03 6.42209628e-03 ... 2.05473324e-05
 2.05476912e-05 2.05478107e-05]"
FR,Rest,JuRo,-27.89212799999999,44.001823,0.00011221987452714188,0.0,0.0005551475176250875,0.0,0.10011357132994152,"[1.52088459e-03 1.52083043e-03 1.52066818e-03 ... 3.83698780e-05
 3.83670369e-05 3.83660899e-05]"
OR,Rest,JuRo,-26.868793,45.02515799999999,0.00014369621597332127,0.0,0.0006459402804781522,0.0,0.11648685491953203,[0.00384963 0.00384838 0.00384464 ... 0.00014941 0.00014941 0.00014941]
OR,Rest,JuRo,23.53697200000001,95.43092299999999,5.914461035594343e-05,0.0,0.0007316721687067318,0.0,0.13194747616870936,"[6.28660969e-05 6.31210581e-05 6.38847990e-05 ... 1.75923069e-04
 1.75910098e-04 1.75905774e-04]"
RR,Rest,JuRo,-75.479332,13.894058000000008,0.0009455509036335741,1.0,0.00013874448059736366,0.0,0.025020746763566443,"[2.99195697e-06 3.09748523e-06 3.41367514e-06 ... 4.99847770e-05
 4.99837395e-05 4.99833937e-05]"
RR,Rest,JuRo,-71.89395099999999,10.308676999999996,0.0014544076838856057,1.0,0.0012621161987780294,0.0,0.2276060976253365,"[2.96472737e-05 2.97213084e-05 2.99431899e-05 ... 1.68161845e-03
 1.68160840e-03 1.68160505e-03]"
OR,Rest,JuRo,-59.41241099999999,2.1728629999999995,9.199887752942004e-05,0.0,0.00022824869539261883,0.0,0.041161657616538345,"[2.65955380e-04 2.65918838e-04 2.65809347e-04 ... 2.28174304e-05
 2.28177645e-05 2.28178758e-05]"
