pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
FO,Rest,NeLa,-31.297701,1.0131969999999946,0.00030370573536941947,0.0,0.0002846260871596229,0.0,0.05132858055660223,"[1.70748242e-05 1.70847748e-05 1.71146199e-05 ... 1.06256620e-04
 1.06255631e-04 1.06255301e-04]"
OO,Rest,NeLa,-29.289562,3.0213359999999945,0.0010738522382158777,1.0,0.0005080664063554785,0.0,0.09162311061141572,"[1.10089788e-03 1.10083406e-03 1.10064281e-03 ... 7.34873693e-07
 7.34572104e-07 7.34471577e-07]"
FO,Rest,NeLa,-26.85199,5.458907999999994,0.0032314288875632258,1.0,0.0018281035951195346,0.0,0.32967449886377975,[0.02252462 0.02251801 0.02249822 ... 0.00020911 0.00020911 0.00020911]
OO,Rest,NeLa,-26.712800999999995,5.598096999999999,6.946108289795916e-05,0.0,0.0005552380440265736,0.0,0.10012989657875321,"[1.81966647e-03 1.81938002e-03 1.81852151e-03 ... 3.14498946e-05
 3.14493720e-05 3.14491978e-05]"
FO,Rest,NeLa,-26.47455,5.836347999999994,0.0003698781265377704,0.0,0.00033012521256181593,0.0,0.05953375087941835,"[1.22522059e-04 1.22531576e-04 1.22560115e-04 ... 8.64775708e-05
 8.64766892e-05 8.64763953e-05]"
OO,Rest,NeLa,-24.652481,7.658416999999993,4.147887254468685e-05,0.0,0.00010462358817275863,0.0,0.01886749147710601,"[3.59607523e-05 3.59686485e-05 3.59923149e-05 ... 2.50498118e-05
 2.50495484e-05 2.50494606e-05]"
OO,Rest,NeLa,-18.187287999999995,14.12361,0.0022654081359938516,1.0,2.2322720041101363e-05,0.0,0.004025609687806201,"[2.34770608e-04 2.34717762e-04 2.34559369e-04 ... 1.36443686e-06
 1.36442888e-06 1.36442623e-06]"
OO,Rest,NeLa,-15.673498,16.637399999999992,0.006348663385663755,1.0,0.0006658091234772456,0.0,0.12006994007740622,[0.0049944  0.00499286 0.00498825 ... 0.00013703 0.00013703 0.00013703]
OO,Rest,NeLa,-14.230294999999998,18.080602999999996,0.0007674248941835771,0.0,0.0001265050478633789,0.0,0.022813525649989713,"[3.50503000e-04 3.50447313e-04 3.50280467e-04 ... 1.42908002e-06
 1.42900122e-06 1.42897496e-06]"
OO,Rest,NeLa,-12.731452999999998,19.579444999999996,0.00363288550400398,1.0,0.0003317361150771969,0.0,0.05982425601320531,"[1.93384522e-04 1.93469312e-04 1.93723393e-04 ... 1.56583371e-05
 1.56580014e-05 1.56578895e-05]"
OO,Rest,NeLa,-11.216302,21.094595999999996,0.0017305417095325737,1.0,0.00015133084191631951,0.0,0.02729053189577823,"[1.71655822e-04 1.71617337e-04 1.71502054e-04 ... 3.89290257e-05
 3.89286270e-05 3.89284941e-05]"
OO,Rest,NeLa,-8.389399999999998,23.921497999999996,0.001403051942356015,1.0,0.000648002261897096,0.0,0.11685870621547145,"[6.15276770e-03 6.15068403e-03 6.14444212e-03 ... 1.16858079e-05
 1.16856273e-05 1.16855670e-05]"
OO,Rest,NeLa,6.166405999999999,38.477304,0.0002495696231683553,0.0,0.0003473130120550394,0.0,0.06263334501600176,"[1.93568712e-03 1.93523742e-03 1.93388966e-03 ... 4.94181764e-05
 4.94176983e-05 4.94175389e-05]"
FO,Rest,NeLa,9.999990999999998,42.31088899999999,8.351268849260407e-05,0.0,0.00011257425805455412,0.0,0.020301290478382458,"[8.51600024e-05 8.51342297e-05 8.50570185e-05 ... 3.58804456e-05
 3.58800987e-05 3.58799831e-05]"
OO,Rest,NeLa,14.486130999999995,46.79702899999999,0.004871871193877553,1.0,0.0007171889267190146,0.0,0.12933561349475006,"[4.24398113e-03 4.24267947e-03 4.23878018e-03 ... 2.52263966e-05
 2.52259592e-05 2.52258133e-05]"
OO,Rest,NeLa,18.279235999999994,50.59013399999999,0.00020390435068762258,0.0,0.00010275596644682139,0.0,0.01853069040182274,"[8.63588632e-04 8.63175367e-04 8.61938155e-04 ... 4.20936832e-06
 4.20930632e-06 4.20928565e-06]"
OO,Rest,NeLa,20.598236,52.909133999999995,7.317608374712847e-05,0.0,0.0004523404232552597,0.0,0.08157366067799723,[0.00053018 0.00052996 0.00052932 ... 0.00018447 0.00018447 0.00018447]
OO,Rest,NeLa,22.262737,54.573634999999996,0.0005020045948054275,0.0,3.182494019404736e-05,0.0,0.005739210424317496,"[2.69409645e-06 2.69659879e-06 2.70410062e-06 ... 8.35706608e-06
 8.35698017e-06 8.35695153e-06]"
OO,Rest,NeLa,23.307747,55.618644999999994,0.0013479760907184613,1.0,0.0004984527266425065,0.0,0.08988940960559078,"[1.52608031e-04 1.52723534e-04 1.53069723e-04 ... 5.05179208e-05
 5.05171790e-05 5.05169317e-05]"
OO,Rest,NeLa,27.944423999999994,60.25532199999999,0.0012440268584263947,1.0,0.00028958727301486853,0.0,0.052223265335388645,"[4.51725175e-04 4.51618134e-04 4.51297468e-04 ... 6.49559950e-05
 6.49553203e-05 6.49550954e-05]"
OO,Rest,NeLa,28.963615,61.274513,0.007601704391474229,1.0,0.0011651884511476585,0.0,0.21012645002147737,[0.01326972 0.01326636 0.01325629 ... 0.00013302 0.00013302 0.00013302]
OO,Rest,NeLa,29.273353999999994,61.58425199999999,0.0003156633393146535,0.0,0.00023129168704461023,0.0,0.04171042123726266,"[1.32483045e-04 1.32431025e-04 1.32275217e-04 ... 8.17136395e-05
 8.17128573e-05 8.17125965e-05]"
OO,Rest,NeLa,30.261688,62.572585999999994,0.0005667055394926734,0.0,4.3438309792476204e-05,0.0,0.00783352926527549,"[4.99143293e-05 4.99176093e-05 4.99274416e-05 ... 1.02750612e-06
 1.02747159e-06 1.02746008e-06]"
OO,Rest,NeLa,30.912779,63.223676999999995,0.005229469866616654,1.0,0.0005640284433665599,0.0,0.10171512977065718,"[1.30415851e-03 1.30400011e-03 1.30352546e-03 ... 1.42898386e-05
 1.42894186e-05 1.42892785e-05]"
OO,Rest,NeLa,34.413039999999995,66.72393799999999,7.455980695070252e-05,0.0,9.819976032243716e-05,0.0,0.01770903840420811,"[1.23622191e-05 1.23751371e-05 1.24138528e-05 ... 2.27648726e-05
 2.27646283e-05 2.27645468e-05]"
OF,Rest,NeLa,-32.310897999999995,1.0131969999999946,0.00030370573536941947,0.0,0.0004301876710448571,0.0,0.0775787024584985,"[3.69734610e-03 3.69572072e-03 3.69085407e-03 ... 7.42377152e-07
 7.42263481e-07 7.42225591e-07]"
OF,Rest,NeLa,-29.289562,2.008139,0.0009196247257037271,1.0,0.00025886535969310565,0.0,0.04668297133589766,"[1.44745754e-05 1.45272632e-05 1.46852024e-05 ... 4.94419710e-05
 4.94414093e-05 4.94412221e-05]"
FF,Rest,NeLa,-26.85199,4.445710999999999,1.692146494036706e-07,0.0,0.0011338681251793492,0.0,0.2044782401522892,"[2.31915043e-03 2.31895724e-03 2.31837843e-03 ... 9.37735842e-06
 9.37662790e-06 9.37638440e-06]"
OF,Rest,NeLa,-26.712800999999995,4.584900000000005,1.5691361259229097e-06,0.0,0.0001119754650156235,0.0,0.020193306009909453,"[2.55148905e-04 2.55115528e-04 2.55015500e-04 ... 1.17416743e-05
 1.17415193e-05 1.17414677e-05]"
FF,Rest,NeLa,-26.47455,4.823150999999999,0.0006899605870138714,0.0,0.0005753755973165742,0.0,0.10376144011214333,"[5.22843551e-03 5.22708571e-03 5.22304083e-03 ... 7.51300796e-06
 7.51290731e-06 7.51287376e-06]"
OF,Rest,NeLa,-24.652481,6.645219999999998,0.004753361691566482,1.0,0.001279610800827502,0.0,0.23076101957772402,"[4.58054405e-03 4.57964056e-03 4.57693357e-03 ... 1.65554816e-06
 1.65491318e-06 1.65470153e-06]"
OF,Rest,NeLa,-18.187287999999995,13.110413000000005,0.00020896231774969465,0.0,0.0002041283850797715,0.0,0.036811876107407375,"[1.06193481e-04 1.06241470e-04 1.06385322e-04 ... 8.64643770e-06
 8.64623326e-06 8.64616512e-06]"
OF,Rest,NeLa,-15.673498,15.624203,5.589491506263755e-05,0.0,0.00032783157979343613,0.0,0.0591201243018481,"[7.23330307e-06 7.28591005e-06 7.44356206e-06 ... 8.14621778e-05
 8.14613232e-05 8.14610384e-05]"
OF,Rest,NeLa,-14.230294999999998,17.067406000000002,0.00018714162534294587,0.0,0.0007739902779342334,0.0,0.13957899195899862,[0.00170873 0.00170834 0.00170715 ... 0.00015311 0.0001531  0.0001531 ]
OF,Rest,NeLa,-12.731452999999998,18.566248,7.22502542984671e-05,0.0,2.798496872702394e-05,0.0,0.00504672195023877,"[2.69619213e-04 2.69539681e-04 2.69301386e-04 ... 1.70183581e-07
 1.70180277e-07 1.70179175e-07]"
OF,Rest,NeLa,-11.216302,20.081398999999998,0.00025815642630178104,0.0,0.0005592289533737915,0.0,0.10084960471923679,"[2.89859153e-05 2.91649943e-05 2.97015270e-05 ... 8.89827542e-05
 8.89816600e-05 8.89812952e-05]"
OF,Rest,NeLa,-8.389399999999998,22.908301,0.0010637563705415687,1.0,4.185579197257816e-05,0.0,0.007548142938914824,"[1.13533927e-04 1.13502077e-04 1.13406671e-04 ... 7.88910981e-06
 7.88902716e-06 7.88899962e-06]"
OF,Rest,NeLa,6.166405999999999,37.464107,2.082567959860171e-06,0.0,0.00041338467182105987,0.0,0.07454850200196933,"[2.03422876e-03 2.03383665e-03 2.03266152e-03 ... 1.36411899e-06
 1.36396600e-06 1.36391501e-06]"
FF,Rest,NeLa,9.999990999999998,41.297692,0.002137650580856132,1.0,5.9006584640419746e-05,0.0,0.010641063380066056,"[3.52088003e-04 3.51981508e-04 3.51662440e-04 ... 7.15275684e-06
 7.15268392e-06 7.15265962e-06]"
OF,Rest,NeLa,14.486130999999995,45.783832,0.0001576766374142835,0.0,0.0001803217804074997,0.0,0.032518667294771056,"[1.90865298e-03 1.90796210e-03 1.90589245e-03 ... 2.43966453e-05
 2.43964479e-05 2.43963820e-05]"
OF,Rest,NeLa,18.279235999999994,49.576936999999994,0.00047551977256432565,0.0,0.00036128160566373246,0.0,0.0651523976069336,"[5.00863931e-04 5.00712406e-04 5.00258811e-04 ... 7.17648018e-05
 7.17640096e-05 7.17637455e-05]"
OF,Rest,NeLa,20.598236,51.895937,0.00026134896486773584,0.0,0.0005756122755868898,0.0,0.10380412193300215,"[6.38947562e-03 6.38749196e-03 6.38154871e-03 ... 3.82278635e-06
 3.82276270e-06 3.82275482e-06]"
OF,Rest,NeLa,22.262737,53.560438000000005,0.0035486196964065186,1.0,0.0005776731429083526,0.0,0.10417577231607772,"[6.18910351e-03 6.18773327e-03 6.18362624e-03 ... 2.82219845e-05
 2.82218475e-05 2.82218019e-05]"
