pair,cdt,sub_id,dist,length,pcmi,sig_mi,pcgc,sig_pcgc,pcte,smvgc
RF,Rest,SoGi,-44.737026,0.6704939999999979,0.0005741473972880051,0.0,0.00027333775029414475,0.0,0.049292877104638554,"[1.42668460e-03 1.42625118e-03 1.42495338e-03 ... 4.22560437e-05
 4.22532507e-05 4.22523197e-05]"
FF,Rest,SoGi,-31.287448999999995,14.120071000000003,0.0016953050328432084,1.0,0.00047216674899197564,0.0,0.0851490784054234,"[4.62786194e-04 4.62839313e-04 4.62998519e-04 ... 6.75162901e-05
 6.75168639e-05 6.75170551e-05]"
FF,Rest,SoGi,-23.605481999999995,21.802038000000003,0.00037094691836969673,0.0,8.519904306125703e-05,0.0,0.015364529614120095,"[6.15907340e-05 6.15997929e-05 6.16269460e-05 ... 1.23311538e-05
 1.23313234e-05 1.23313799e-05]"
FF,Rest,SoGi,-19.689976,25.717543999999997,0.0003865531280005108,0.0,0.0002820051947240998,0.0,0.05085593699167315,[0.00206424 0.00206379 0.00206244 ... 0.00012273 0.00012273 0.00012273]
OF,Rest,SoGi,-19.398746,26.008774,0.00032502992676741727,0.0,0.00025043431833493557,0.0,0.04516254364127744,[0.00034829 0.00034816 0.00034778 ... 0.00025117 0.00025117 0.00025117]
FF,Rest,SoGi,-4.9253769999999975,40.482143,0.0002456396680097228,0.0,0.0006746161253727845,0.0,0.12165816732238043,[0.00177351 0.0017733  0.00177267 ... 0.0005948  0.00059479 0.00059479]
FF,Rest,SoGi,-4.489104999999999,40.918414999999996,0.0005671446243789013,0.0,0.0015107803900187289,0.0,0.27244942206903927,"[4.36099387e-05 4.42499506e-05 4.61681473e-05 ... 7.88980410e-04
 7.88965208e-04 7.88960141e-04]"
OF,Rest,SoGi,-3.987238999999999,41.420281,0.0001506034395744038,0.0,0.0011821049647606774,0.0,0.2131771213088065,[0.00559543 0.00559436 0.00559116 ... 0.00082097 0.00082096 0.00082095]
OF,Rest,SoGi,-2.7655589999999957,42.641961,2.9099605935556383e-05,0.0,0.0008906546477314148,0.0,0.16061788042835234,"[7.32815607e-03 7.32673585e-03 7.32247881e-03 ... 7.06108925e-06
 7.05835869e-06 7.05744853e-06]"
FF,Rest,SoGi,-2.5016379999999963,42.905882000000005,0.0007291316886357535,0.0,0.000644705461462447,0.0,0.11626417151073787,"[1.05760517e-03 1.05761078e-03 1.05762763e-03 ... 8.55024663e-05
 8.55024111e-05 8.55023927e-05]"
